Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0207378,INS-000820011,01/14/2025,2025,BA-1707927-2024,BA-1707927,"TORTILLERIA LA MALINCHE, CORP.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,4202,5TH AVE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010856,3007240039,BK32,40.64949232,-74.00576595
A0134444,INS-000664697,08/23/2023,2023,BA-1559627-2022,BA-1559627,TORTILLERIA LA MALINCHE CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,4202,5TH AVE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010856,3007240039,BK32,40.64949232,-74.00576595
A0154464,INS-000716971,02/14/2024,2024,BA-1559627-2022,BA-1559627,TORTILLERIA LA MALINCHE CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,4202,5TH AVE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010856,3007240039,BK32,40.64949232,-74.00576595
A0128893,INS-000654688,07/20/2023,2023,BA-1597629-2023,BA-1597629,Tortillas Don Pedro Corp,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,251,WYCKOFF AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3075779,3033110006,BK77,40.70138904,-73.9144171
A0205122,INS-000815606,12/24/2024,2024,BA-1688469-2024,BA-1688469,TORIBIO GROCERY STORE CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,335,S 2ND ST,,,,BROOKLYN,NY,11211,Brooklyn,301,34,3063037,3024110027,BK73,40.71037612,-73.95413682
A0157651,INS-000723430,03/08/2024,2024,BA-1560143-2022,BA-1560143,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0157651,INS-000723430,03/08/2024,2024,BA-1560143-2022,BA-1560143,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0157651,INS-000723430,03/08/2024,2024,BA-1560143-2022,BA-1560143,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0133484,INS-000663096,08/29/2023,2023,BA-1695377-2024,BA-1695377,TOP DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,2115,SURF AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3189552,3070580042,BK21,40.57452876,-73.98790148
A0173310,INS-000752659,06/12/2024,2024,BA-1699066-2024,BA-1699066,TOP DELI CONVENIENCE CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,4125,WHITE PLAINS RD,,,,BRONX,NY,10466,Bronx,212,11,2063222,2048330012,BX44,40.89144762,-73.85846943
